kind,etag,id,channel_id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.tags,snippet.defaultLanguage
youtube#video,jkLr-maDdXQHN5Yuj495ysIUEYk,Wt4UZM-_p8g,UCgx_iANJu2vdqaVldHn94vg,2025-04-04T13:40:14Z,UCgx_iANJu2vdqaVldHn94vg,Making good progress! #starwars #pianocover,,https://i.ytimg.com/vi/Wt4UZM-_p8g/default.jpg,120,90,https://i.ytimg.com/vi/Wt4UZM-_p8g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Wt4UZM-_p8g/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Wt4UZM-_p8g/sddefault.jpg,640,480,https://i.ytimg.com/vi/Wt4UZM-_p8g/maxresdefault.jpg,1280.0,720.0,TDunc Piano,10,none,Making good progress! #starwars #pianocover,,en-GB,2093,33,0,6,,
youtube#video,0n2tx8If0aOMcGXzBE_dHedah_M,v0d4JKXw0Gk,UCgx_iANJu2vdqaVldHn94vg,2025-03-11T22:31:51Z,UCgx_iANJu2vdqaVldHn94vg,Is this Rousseau's HARDEST Piano Cover?! (Ranking Pt.2),"This is the SECOND video on ranking ROUSSEAU's covers from EASIEST to HARDEST!!! I am not sure how many more of these I will make, if you have any burning suggestions make sure to let me know in the comments!! and if there are enough of them I will make another video.

Ranking: Torrent (Opus 10, No.4 Chopin), (High SS+ Tier), Gaspard de la Nuit Ondine (DIVINE), Le Gibet (MEDIUM), SCARBO (HIGH DIVINE++).

Ranking Buka playlist: https://www.youtube.com/watch?v=bvdl5VvYk8I&list=PLczGcswI9wjjuCMu6zlZYbI8nc3rOJ-Vy
Ranking Pietschmann playlist: https://www.youtube.com/playlist?list=PLczGcswI9wjgGfqRDhliL1z8uLZtnbbw8

If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)

Timestamps:
00:00 Intro
00:38 Cover 1 Preview
01:01 Cover 1 Analysis
03:18 Cover 2 (mvt.1) Preview
03:57 Cover 2 (mvt.1) Analysis
07:18 Mvt.2 Preview
07:59 Mvt.2 Analysis
08:57 Mvt.3 Preview
10:07 Mvt.3 Analysis
11:40 Final Rankings

#tierlist  #rousseau  #piano",https://i.ytimg.com/vi/v0d4JKXw0Gk/default.jpg,120,90,https://i.ytimg.com/vi/v0d4JKXw0Gk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/v0d4JKXw0Gk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/v0d4JKXw0Gk/sddefault.jpg,640,480,https://i.ytimg.com/vi/v0d4JKXw0Gk/maxresdefault.jpg,1280.0,720.0,TDunc Piano,10,none,Is this Rousseau's HARDEST Piano Cover?! (Ranking Pt.2),"This is the SECOND video on ranking ROUSSEAU's covers from EASIEST to HARDEST!!! I am not sure how many more of these I will make, if you have any burning suggestions make sure to let me know in the comments!! and if there are enough of them I will make another video.

Ranking: Torrent (Opus 10, No.4 Chopin), (High SS+ Tier), Gaspard de la Nuit Ondine (DIVINE), Le Gibet (MEDIUM), SCARBO (HIGH DIVINE++).

Ranking Buka playlist: https://www.youtube.com/watch?v=bvdl5VvYk8I&list=PLczGcswI9wjjuCMu6zlZYbI8nc3rOJ-Vy
Ranking Pietschmann playlist: https://www.youtube.com/playlist?list=PLczGcswI9wjgGfqRDhliL1z8uLZtnbbw8

If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)

Timestamps:
00:00 Intro
00:38 Cover 1 Preview
01:01 Cover 1 Analysis
03:18 Cover 2 (mvt.1) Preview
03:57 Cover 2 (mvt.1) Analysis
07:18 Mvt.2 Preview
07:59 Mvt.2 Analysis
08:57 Mvt.3 Preview
10:07 Mvt.3 Analysis
11:40 Final Rankings

#tierlist  #rousseau  #piano",en-GB,10540,336,0,46,"['tdunc piano', 'piano', 'piano cover', 'rousseau', 'rousseau piano', 'rousseau piano cover', 'rousseau ranked', 'ranking rousseau', 'gaspard de la nuit']",
youtube#video,qp-VwidCPy0atWNDvpZjBQfU_no,0W59ujGWxak,UCgx_iANJu2vdqaVldHn94vg,2025-03-07T23:59:27Z,UCgx_iANJu2vdqaVldHn94vg,Passing Memories - Emotional Composition (Improvised Piano),"I've been really enjoying improvising and coming up with ideas for compositions! In this one, I've tried vary with different styles and moods, let me know which parts you like! any thoughts and ideas are appreciated. I've named this improvised composition 'Passing Memories' as while I was playing particular near the end, I was thinking about old stories and memories and it heavily inspired my improvisation. 

If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support.

Time stamps:
00:00 Sadness/Mysterious
01:35 Transitional (Into Minor Jazz feel)
02:51 Reminiscent (Favourite)
04:28 Memories Passing By (To Present)

#piano #composition #improvisation",https://i.ytimg.com/vi/0W59ujGWxak/default.jpg,120,90,https://i.ytimg.com/vi/0W59ujGWxak/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0W59ujGWxak/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0W59ujGWxak/sddefault.jpg,640,480,https://i.ytimg.com/vi/0W59ujGWxak/maxresdefault.jpg,1280.0,720.0,TDunc Piano,10,none,Passing Memories - Emotional Composition (Improvised Piano),"I've been really enjoying improvising and coming up with ideas for compositions! In this one, I've tried vary with different styles and moods, let me know which parts you like! any thoughts and ideas are appreciated. I've named this improvised composition 'Passing Memories' as while I was playing particular near the end, I was thinking about old stories and memories and it heavily inspired my improvisation. 

If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support.

Time stamps:
00:00 Sadness/Mysterious
01:35 Transitional (Into Minor Jazz feel)
02:51 Reminiscent (Favourite)
04:28 Memories Passing By (To Present)

#piano #composition #improvisation",en-GB,288,27,0,21,"['tdunc piano', 'piano', 'piano cover', 'improv', 'piano composition', 'composition', 'piano improvisation', 'how to improvise', 'emotional piano']",
youtube#video,I4G2cu_5tcIZp2-Xq8fqKaUoEA0,hKaVZG8On6M,UCgx_iANJu2vdqaVldHn94vg,2025-02-10T16:38:46Z,UCgx_iANJu2vdqaVldHn94vg,The 3 BEST Patrik Pietschmann Covers for Advanced Piano Players,"These arrangements are in my opinion the BEST for ADVANCED PLAYERS to try and learn as they are, compared to Pietschmann's other arrangements, the most well rounded, whilst also providing some good challenge!

Link to Ranking of Pietschmann covers:
https://www.youtube.com/playlist?list=PLczGcswI9wjgGfqRDhliL1z8uLZtnbbw8

BEGINNERS: https://www.youtube.com/watch?v=uI4rfjldMPc
INTERMEDIATES: https://www.youtube.com/watch?v=GhYJk11VGyg

If you want to see more videos like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)

#patrikpietschmann #piano #pianocover",https://i.ytimg.com/vi/hKaVZG8On6M/default.jpg,120,90,https://i.ytimg.com/vi/hKaVZG8On6M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/hKaVZG8On6M/hqdefault.jpg,480,360,https://i.ytimg.com/vi/hKaVZG8On6M/sddefault.jpg,640,480,https://i.ytimg.com/vi/hKaVZG8On6M/maxresdefault.jpg,1280.0,720.0,TDunc Piano,10,none,The 3 BEST Patrik Pietschmann Covers for Advanced Piano Players,"These arrangements are in my opinion the BEST for ADVANCED PLAYERS to try and learn as they are, compared to Pietschmann's other arrangements, the most well rounded, whilst also providing some good challenge!

Link to Ranking of Pietschmann covers:
https://www.youtube.com/playlist?list=PLczGcswI9wjgGfqRDhliL1z8uLZtnbbw8

BEGINNERS: https://www.youtube.com/watch?v=uI4rfjldMPc
INTERMEDIATES: https://www.youtube.com/watch?v=GhYJk11VGyg

If you want to see more videos like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)

#patrikpietschmann #piano #pianocover",en-GB,1269,90,0,27,"['tdunc piano', 'piano', 'piano cover', 'patrik', 'pietschmann', 'advanced piano', 'hard piano', 'impossible piano', 'patrik hard', 'advanced piano covers', 'patrik pietschmann', 'patrik pietschmann piano', 'patrik pietschmann piano covers hard', 'piano covers hard', 'hard piano covers']",
youtube#video,k4Ttq-TPcsfIkCRaOLtZzDU7K-o,TwpV-iev9J8,UCgx_iANJu2vdqaVldHn94vg,2025-02-01T14:18:49Z,UCgx_iANJu2vdqaVldHn94vg,"Give Me 4 Minutes, and I'll Change How You Improvise","in this video, I explain the proper way to approach improvisation in music and give some ideas about what tools and techniques you can try to level up your improvisation, to create some really cool compositions!

How to Memorise Pieces Efficiently: https://www.youtube.com/watch?v=4_iDyUzRUYA

If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)

#improvisation #piano",https://i.ytimg.com/vi/TwpV-iev9J8/default.jpg,120,90,https://i.ytimg.com/vi/TwpV-iev9J8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TwpV-iev9J8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/TwpV-iev9J8/sddefault.jpg,640,480,https://i.ytimg.com/vi/TwpV-iev9J8/maxresdefault.jpg,1280.0,720.0,TDunc Piano,10,none,"Give Me 4 Minutes, and I'll Change How You Improvise","in this video, I explain the proper way to approach improvisation in music and give some ideas about what tools and techniques you can try to level up your improvisation, to create some really cool compositions!

How to Memorise Pieces Efficiently: https://www.youtube.com/watch?v=4_iDyUzRUYA

If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)

#improvisation #piano",en-GB,1093,52,0,11,"['tdunc piano', 'piano', 'piano cover', 'improvisation', 'improvisation on piano', 'how to improvise', 'struggling to improvise', 'how to improvise on piano']",
youtube#video,YpQpZNix3pRfzqo-OEmnUB7L0o4,ExnYgWDrhSE,UCgx_iANJu2vdqaVldHn94vg,2025-01-25T20:08:36Z,UCgx_iANJu2vdqaVldHn94vg,I Accidentally Created a Masterpiece...,"If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)

#piano #pianomusic",https://i.ytimg.com/vi/ExnYgWDrhSE/default.jpg,120,90,https://i.ytimg.com/vi/ExnYgWDrhSE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ExnYgWDrhSE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/ExnYgWDrhSE/sddefault.jpg,640,480,https://i.ytimg.com/vi/ExnYgWDrhSE/maxresdefault.jpg,1280.0,720.0,TDunc Piano,10,none,I Accidentally Created a Masterpiece...,"If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)

#piano #pianomusic",en-GB,623,50,0,35,"['tdunc piano', 'piano', 'piano cover', 'beautiful piano', 'piano music', 'masterpiece']",
youtube#video,Ae4ZRGF1VUWPldtghu49KyzRazc,o_kvGdIo1JE,UCgx_iANJu2vdqaVldHn94vg,2025-01-24T12:54:26Z,UCgx_iANJu2vdqaVldHn94vg,Ranking ROUSSEAU Covers from EASIEST to HARDEST,"This is the FIRST video on ranking ROUSSEAU's covers from EASIEST to HARDEST!!! I am not sure how many more of these I will make, if you have any burning suggestions make sure to let me know in the comments!! and if there are enough of them I will make another video.

Ranking: Nuvole Bianche (Easy), Summer (SS+ Tier), Hungarian Rhapsody no.2 (DIVINE) and Prelude C# minor (Hard Tier)

Ranking Buka playlist: https://www.youtube.com/watch?v=bvdl5VvYk8I&list=PLczGcswI9wjjuCMu6zlZYbI8nc3rOJ-Vy
Ranking Pietschmann playlist: https://www.youtube.com/playlist?list=PLczGcswI9wjgGfqRDhliL1z8uLZtnbbw8

If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)


#tierlist  #rousseau  #piano",https://i.ytimg.com/vi/o_kvGdIo1JE/default.jpg,120,90,https://i.ytimg.com/vi/o_kvGdIo1JE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/o_kvGdIo1JE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/o_kvGdIo1JE/sddefault.jpg,640,480,https://i.ytimg.com/vi/o_kvGdIo1JE/maxresdefault.jpg,1280.0,720.0,TDunc Piano,10,none,Ranking ROUSSEAU Covers from EASIEST to HARDEST,"This is the FIRST video on ranking ROUSSEAU's covers from EASIEST to HARDEST!!! I am not sure how many more of these I will make, if you have any burning suggestions make sure to let me know in the comments!! and if there are enough of them I will make another video.

Ranking: Nuvole Bianche (Easy), Summer (SS+ Tier), Hungarian Rhapsody no.2 (DIVINE) and Prelude C# minor (Hard Tier)

Ranking Buka playlist: https://www.youtube.com/watch?v=bvdl5VvYk8I&list=PLczGcswI9wjjuCMu6zlZYbI8nc3rOJ-Vy
Ranking Pietschmann playlist: https://www.youtube.com/playlist?list=PLczGcswI9wjgGfqRDhliL1z8uLZtnbbw8

If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)


#tierlist  #rousseau  #piano",en-GB,4453,206,0,49,"['tdunc piano', 'piano', 'piano cover']",
youtube#video,wPHaModS1I5ujBRhLy1MDZKpvJY,4_iDyUzRUYA,UCgx_iANJu2vdqaVldHn94vg,2025-01-17T18:29:57Z,UCgx_iANJu2vdqaVldHn94vg,"This is Boring, But You’ll MEMORISE Pieces Fast","In this video, I go over a simple but effective strategy for memorising piano pieces fast short term, but also long term. This technique is also extremely powerful and important for developing your overall skills as a pianist/musician as it helps build good practice and reduces risk of burnout or learning the wrong technique.

Watch how to Learn pieces FAST:
https://www.youtube.com/watch?v=oOzjfgAOe9E

Ranking PETER BUKA Covers:
https://www.youtube.com/playlist?list=PLczGcswI9wjjuCMu6zlZYbI8nc3rOJ-Vy

If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)



#piano",https://i.ytimg.com/vi/4_iDyUzRUYA/default.jpg,120,90,https://i.ytimg.com/vi/4_iDyUzRUYA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4_iDyUzRUYA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4_iDyUzRUYA/sddefault.jpg,640,480,https://i.ytimg.com/vi/4_iDyUzRUYA/maxresdefault.jpg,1280.0,720.0,TDunc Piano,10,none,"This is Boring, But You’ll MEMORISE Pieces Fast","In this video, I go over a simple but effective strategy for memorising piano pieces fast short term, but also long term. This technique is also extremely powerful and important for developing your overall skills as a pianist/musician as it helps build good practice and reduces risk of burnout or learning the wrong technique.

Watch how to Learn pieces FAST:
https://www.youtube.com/watch?v=oOzjfgAOe9E

Ranking PETER BUKA Covers:
https://www.youtube.com/playlist?list=PLczGcswI9wjjuCMu6zlZYbI8nc3rOJ-Vy

If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)



#piano",en-GB,1239,73,0,15,"['tdunc piano', 'piano', 'piano cover', 'how to memorise pieces', 'memorise piano songs', 'learning by ear', 'how to remember pieces i learn', 'how to learn piano fast', 'how do i memorise pieces', 'stop wasting time']",
youtube#video,wLUYkKbgdy1xKm45gSjgWZ26Pi4,bcWKg9QSN34,UCgx_iANJu2vdqaVldHn94vg,2025-01-12T12:54:45Z,UCgx_iANJu2vdqaVldHn94vg,The CRAZIEST Run on PIANO 🔥😎,,https://i.ytimg.com/vi/bcWKg9QSN34/default.jpg,120,90,https://i.ytimg.com/vi/bcWKg9QSN34/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bcWKg9QSN34/hqdefault.jpg,480,360,https://i.ytimg.com/vi/bcWKg9QSN34/sddefault.jpg,640,480,https://i.ytimg.com/vi/bcWKg9QSN34/maxresdefault.jpg,1280.0,720.0,TDunc Piano,10,none,The CRAZIEST Run on PIANO 🔥😎,,en-GB,630,33,0,5,,
youtube#video,6Lov0zSELWK0zNlPPngSU2FoWNs,ge5D5FlDE4Y,UCgx_iANJu2vdqaVldHn94vg,2025-01-10T21:15:08Z,UCgx_iANJu2vdqaVldHn94vg,Ranking PETER BUKA Covers from EASIEST to HARDEST (FULL ANALYSIS),"This is the SECOND video on ranking a handful of Peter Buka's covers from EASIEST to HARDEST!!! I am not sure how many more of these I will make, if you have any burning suggestions make sure to let me know in the comments!! and if there are enough of them I will make another video.

PART 1: https://www.youtube.com/watch?v=bvdl5VvYk8I
Ranking Buka playlist: https://www.youtube.com/watch?v=bvdl5VvYk8I&list=PLczGcswI9wjjuCMu6zlZYbI8nc3rOJ-Vy

If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)

#tierlist  #peterbuka  #piano",https://i.ytimg.com/vi/ge5D5FlDE4Y/default.jpg,120,90,https://i.ytimg.com/vi/ge5D5FlDE4Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ge5D5FlDE4Y/hqdefault.jpg,480,360,https://i.ytimg.com/vi/ge5D5FlDE4Y/sddefault.jpg,640,480,https://i.ytimg.com/vi/ge5D5FlDE4Y/maxresdefault.jpg,1280.0,720.0,TDunc Piano,10,none,Ranking PETER BUKA Covers from EASIEST to HARDEST (FULL ANALYSIS),"This is the SECOND video on ranking a handful of Peter Buka's covers from EASIEST to HARDEST!!! I am not sure how many more of these I will make, if you have any burning suggestions make sure to let me know in the comments!! and if there are enough of them I will make another video.

PART 1: https://www.youtube.com/watch?v=bvdl5VvYk8I
Ranking Buka playlist: https://www.youtube.com/watch?v=bvdl5VvYk8I&list=PLczGcswI9wjjuCMu6zlZYbI8nc3rOJ-Vy

If you want to see more content like this make sure to drop a like and consider subscribing it would be greatly appreciated! Thank you for the support :)

#tierlist  #peterbuka  #piano",en-GB,1564,46,0,20,"['tdunc piano', 'piano', 'piano cover', 'tier list', 'tier', 'ranking', 'patrik covers', 'piano covers', 'hardest piano covers', 'insane', 'peter', 'buka', 'peter buka', 'peter buka covers']",
